Champion,Role,Win Percent,Play Percent,Ban Rate,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Gold Earned
Volibear,Jungle,0.5142585551330798,0.05338125693747026,0.03420053914054654,5.422766159695818,4.882366920152092,8.274001901140684,7,13342,29564,8773,40.350998098859314,10475
Bard,Support,0.5208131655372701,0.05241714678365664,0.0033934140282255933,2.5513068731848985,4.988625363020329,12.508470474346563,5,9907,16001,6108,32.174249757986445,7601
Leona,Support,0.5116046917893686,0.0508314392938316,0.016277815952217348,1.9660593960569004,5.762166209134016,11.855502869977538,4,6611,17295,1805,31.934614424756674,7355
Pyke,Support,0.48383838383838385,0.05023521327765738,0.011467836566414716,6.19040404040404,6.401010101010101,7.914646464646465,8,9251,17832,4289,37.96388888888889,10172
Lucian,ADC,0.4821474441304906,0.049385274063111155,0.0020931338865690574,7.147957873105574,5.88800410994092,7.128692525044952,7,19873,19452,2683,184.25481633701514,12318
Morgana,Support,0.4883720930232558,0.04582060362598446,0.031079866800570854,2.416943521594684,5.537098560354374,11.995570321151716,7,10345,14890,2999,27.57668881506091,7827
Yasuo,Middle,0.4780361757105943,0.04418415349648501,0.04050954067339711,6.721791559000861,6.976457077232271,5.723514211886305,8,18168,22089,4493,183.85213896066608,12134
Soraka,Support,0.5228929717118693,0.043499127860880595,0.0028415878217664782,0.9440069991251093,5.086905803441237,12.958005249343833,3,5544,11602,18036,18.614173228346456,6940
Nunu & Willump,Jungle,0.5118974984746797,0.04158359321317194,0.010226756171044982,4.256253813300793,5.086638194020744,10.717815741305674,6,11176,32870,16964,35.114399023794995,9813
Nami,Support,0.506650170120631,0.04101273851683492,0.00028965590147470797,1.7049180327868851,5.219610269099907,13.908134859263841,5,7455,12571,10808,15.33776678008042,7411
Garen,Top,0.5134260757036557,0.03921137480839368,0.008613563084729638,6.37754771918473,4.961177612423164,4.436428340342931,7,18114,27189,3332,176.0698802976383,11926
Elise,Jungle,0.5121713729308666,0.03908451820920767,0.012074633965854432,6.200908795845505,5.265498214865303,7.405387861084064,7,13936,20521,7251,25.35702693930542,9951
Fiddlesticks,Jungle,0.5177466623249756,0.03895766161002167,0.021867963423013902,5.551611852816672,5.415174210354933,8.362422663627482,6,15743,27596,14834,34.69163139042657,10339
Zac,Jungle,0.49885283513602097,0.03870394841164966,0.007404196839156403,4.145198295640774,4.308095706325795,10.692232055063913,5,12820,35399,31059,34.912487708947886,9761
Nidalee,Jungle,0.49522555153111625,0.038526349172789257,0.004086896770442413,6.412907474481396,5.1508067171550875,6.884754692130392,7,14799,25064,14746,27.518933157721435,10454
Darius,Top,0.5075276012044162,0.03791743749669644,0.04815476505100692,6.676814988290398,5.830712612914018,4.617597858815658,7,17122,28015,5618,173.59785881565742,11641
Jinx,ADC,0.5071477195371,0.03727046884084782,0.00031502722131190864,6.866235534377127,5.8699795779441795,7.727705922396188,7,19727,18151,2424,183.85330156569094,12347
Janna,Support,0.5062326869806094,0.036636185844917804,0.0004291981605793118,1.6267313019390581,4.85803324099723,12.850761772853186,3,7524,12408,6582,18.895775623268698,7323
Mordekaiser,Top,0.47553956834532374,0.03526613457370897,0.009622073048258364,5.948201438848921,5.885251798561151,4.904676258992806,6,19896,26804,7702,165.65,11222
Twisted Fate,Middle,0.5150307859471206,0.03502510703525556,0.0036936413129658014,5.018471568272365,5.35132198478812,8.737413980441868,5,16851,20868,4480,167.97211155378486,11650
Sett,Support,0.4744338933528123,0.034733336857127754,0.012871716264073154,3.078524470416362,5.597881665449233,7.964572680788897,5,9662,19701,1387,49.20708546384222,7374
